Tag,Keywords
Manipulate,manipulate
Cynical,cynical
Familia,"brother,cousin,mother,father,in-law,inlaw,clan,aunt,uncle,sister,family,fiance"
FamilyConflict,"manipulate,inheritance,widow,affair,feud,clan, fratricide,patricide"
Marriage,"marry,marriage,divorce,bride,husband,wedding,groom,marital"
Romance,"lover,dashing,handsome,love,lovetriangle,romance,romantic,love-triangle,boyfriend,girlfriend"
Religious,"faith,prayer,miracle,agnostic,believe,jesus,fundamentalist,evangelist,soul,devout,catholic,sin"
Lonliness,"Estranged,drop-out,loser,squalid,nowhere,lonely,isolation,lonli"
Pregnancy,"pregnant,abortion"
PlainHero,"Dull,plain,simple"
Boxing,"boxing,boxer"
Prositute,"prostitute,pimp,carabet,stripper"
Poverty,"poverty,poor,homeless"
Samurai,samurai
Honor,"honour,honor"
Suicide,"suicide,harakiri"
Politics,"politic,government,corrupt,embezzle"
Nuclear,"Nuclear,warhead,nuke"
Graduate,"graduate,college,drop-out,aimless"
Moral,"principles,philisophical,evil,moral"
Class,"class,upper-class,lower-class"
Insane,"mental,unstable,crazy,deranged,psycho"
Drug,"drug,cocaine,police,paranoia,meth,weed,heroin,addict,narcotic"
Gangster,"assassinate,mafia,gangster,heist,caper,mob"
Dark,"rape,nihlis,abuse"
Rant,"rant,plight"
Greed,"Debt,greed,oil"
Kidnap,"Ransom,kidnap"
Wealth,"wealth,money,rich"
Fantasy,"hobbit,dwarf,elf,wizard,magic,orc,dragon"
Future,"Computer,hacker,robot"
Communist,"Communist,communism,stalin"
Gambling,"gamble,casino,poker"
LGBT,"gay,bisexual,lesbian,transgender"
ComingofAge,"puberty,growing up"
School,"school,bully,teenage"
Police,"Police,officer,detective,homicide,serial"
Rebellion,"Rebel,revolt,revolution"
Seduction,"seduce,entice,fatale"
Courtoom,"Court,judge,lawyer,guilty,barrister,trial"
Porn,porn
Teacher,"teacher,professor,tutor"
Prison,"prison,jail,pow,warden"
Friendship,"friend,buddy,companion"
Racism,"skinhead,supremacist,racial,racist"
Cool,"cool,ruthless,cynical"
War,"war,battle,army,soldier,pow,military"
Royalty,"king, queen, prince, royal, sultan, emperor, empress, majesty"
Disabled,"paraly,wheelchair,disabled,paraplegic,handicap"
Nazi,"ww2,nazi,hitler"
Beautiful,"beautiful,handsome,dashing,gorgeous,attractive"
Animal,"dog,cat,fish,monkey,donkey,horse,snake,lizard,crocodile"
Erotic,"erotic,sexy,sensual,infatuation"
